src_name,dst_name,classification
id_add_knk__n,id_add_knk__n,DIRECT_COPY
id_crlc_maf_diag__n,id_crlc_maf_diag__n,DIRECT_COPY
id_cycnr_dly_iga_tra__n,id_cycnr_dly_iga_tra__n,DIRECT_COPY
id_cycnr_n_grd_tra_knk__n,id_cycnr_n_grd_tra_knk__n,DIRECT_COPY
id_deacc_n__n,id_deacc_n__n,DIRECT_COPY
id_dly_st_ivvt__toil,id_dly_st_ivvt__toil,DIRECT_COPY
id_dri_n_sp_min_vb__vb_mmv,id_dri_n_sp_min_vb__vb_mmv,DIRECT_COPY
id_ecfpwm_igk_off__temp_cat,id_ecfpwm_igk_off__temp_cat,DIRECT_COPY
id_ectpwm_add__n__tco_sp,id_ectpwm_add__n__tco_sp,DIRECT_COPY
id_fac_knks_thd__tia,id_fac_knks_thd__tia,DIRECT_COPY
id_fac_ti_ris__cycnr,id_fac_ti_ris__cycnr,DIRECT_COPY
id_fac_ti_rpl__cycnr,id_fac_ti_rpl__cycnr,DIRECT_COPY
id_gear__n_vs_cru,id_gear__n_vs_cru,DIRECT_COPY
id_iga_cycnr_tra_knk__n,id_iga_cycnr_tra_knk__n,DIRECT_COPY
id_iga_dec_knk_1__n,id_iga_dec_knk_1__n,DIRECT_COPY
id_iga_dec_knk_2__n,id_iga_dec_knk_2__n,DIRECT_COPY
id_iga_inc_knk__n,id_iga_inc_knk__n,DIRECT_COPY
id_iga_lgrd_st_aj__n,id_iga_lgrd_st_aj__n,DIRECT_COPY
id_iga_tra_dec__n,id_iga_tra_dec__n,DIRECT_COPY
id_iga_tra_inc__n,id_iga_tra_inc__n,DIRECT_COPY
id_isapwm_slow_pu__n,id_isapwm_slow_pu__n,DIRECT_COPY
id_knkwb_0__n__maf,id_knkwb_0__n__maf,DIRECT_COPY
id_knkwb_1__n__maf,id_knkwb_1__n__maf,DIRECT_COPY
id_knkwb_2__n__maf,id_knkwb_2__n__maf,DIRECT_COPY
id_knkwb_3__n__maf,id_knkwb_3__n__maf,DIRECT_COPY
id_knkwb_4__n__maf,id_knkwb_4__n__maf,DIRECT_COPY
id_knkwb_5__n__maf,id_knkwb_5__n__maf,DIRECT_COPY
id_knkwe_0__n__maf,id_knkwe_0__n__maf,DIRECT_COPY
id_knkwe_1__n__maf,id_knkwe_1__n__maf,DIRECT_COPY
id_knkwe_2__n__maf,id_knkwe_2__n__maf,DIRECT_COPY
id_knkwe_3__n__maf,id_knkwe_3__n__maf,DIRECT_COPY
id_knkwe_4__n__maf,id_knkwe_4__n__maf,DIRECT_COPY
id_knkwe_5__n__maf,id_knkwe_5__n__maf,DIRECT_COPY
id_lam_tco_min__tco_st,id_lam_tco_min__tco_st,DIRECT_COPY
id_maf_min_knk_ad_2__n,id_maf_min_knk_ad_2__n,DIRECT_COPY
id_maf_min_knk_ad__n,id_maf_min_knk_ad__n,DIRECT_COPY
id_maf_tab__v_maf_1__v_maf_2,id_maf_tab__v_maf_1__v_maf_2,MANUAL_REVIEW
id_map_grd_iga_tra__n,id_map_grd_iga_tra__n,DIRECT_COPY
id_map_grd_tra_knk__n,id_map_grd_tra_knk__n,DIRECT_COPY
id_mis_a_obd_cat__temp_sub_cat,id_mis_a_obd_cat__temp_sub_cat,DIRECT_COPY
id_n_ecf_min_accin__n_ecf,id_n_ecf_min_accin__n_ecf,DIRECT_COPY
id_n_grd_max_knk__n,id_n_grd_max_knk__n,DIRECT_COPY
id_n_max_cycnr__vs,id_n_max_cycnr__vs,DIRECT_COPY
id_n_max_cycnr_diag__n,id_n_max_cycnr_diag__n,DIRECT_COPY
id_n_max_lgrd__gear,id_n_max_lgrd__gear,DIRECT_COPY
id_n_max_lgrd_at__gear,id_n_max_lgrd_at__gear,DIRECT_COPY
id_n_sp_min_vb__vb_mmv,id_n_sp_min_vb__vb_mmv,DIRECT_COPY
id_o2_int_max_at__n__maf,id_o2_int_max_at__n__maf,DIRECT_COPY
id_o2_int_max_mt__n__maf,id_o2_int_max_mt__n__maf,DIRECT_COPY
id_pat_fcut__nr_pat,id_pat_fcut__nr_pat,DIRECT_COPY
id_pvs_fl__n,id_pvs_fl__n,DIRECT_COPY
id_pvs_fl_ivvt__n,id_pvs_fl_ivvt__n,DIRECT_COPY
id_pvs_fl_vim__n_vim,id_pvs_fl_vim__n_vim,DIRECT_COPY
id_pvs_grd_iga_tra__n,id_pvs_grd_iga_tra__n,DIRECT_COPY
id_pvs_grd_tra_knk__n,id_pvs_grd_tra_knk__n,DIRECT_COPY
